"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_ck_eof,0,0,0,0,0,4,0,0,0,0,2
function@Perl_ck_eval,0,0,0,0,0,6,0,0,0,0,1.43155
function@Perl_ck_exec,0,0,0,0,0,3,0,0,0,0,1.74118
function@Perl_ck_exists,0,0,0,0,0,3,0,0,0,0,2.30952
function@Perl_ck_rvconst,0,0,0,0,0,3,0,0,0,0,1.39011
function@Perl_ck_glob,0,0,0,0,0,9,0,0,0,0,4.66189
function@Perl_ck_grep,4,0,0,1,1,12,1.54054,0,0.459459,1,19.7703
function@Perl_ck_index,0,1,0,0,1,5,0,0.0366412,0,0.048855,0.340458
function@Perl_ck_lfun,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_defined,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_rfun,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_readline,0,0,0,0,0,3,0,0,0,0,1.5
function@Perl_ck_listiob,0,0,0,0,0,6,0,0,0,0,2.29066
function@Perl_ck_smartmatch,0,0,0,0,0,7,0,0,0,0,4.84
function@Perl_ck_sassign,1,0,0,1,0,13,0.155116,0,0.155116,0,3.36964
function@Perl_ck_match,0,0,0,0,0,3,0,0,0,0,2
function@Perl_ck_method,2,6,0,5,5,18,1.0308,0.918858,2.13223,1.18257,37.0233
function@Perl_ck_null,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_open,0,0,0,0,0,1,0,0,0,0,0.5
function@Perl_ck_prototype,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_refassign,1,1,0,1,0,5,1,0.718615,1,0,2.1645
function@Perl_ck_repeat,0,0,0,0,0,2,0,0,0,0,1.5
function@Perl_ck_require,4,3,0,2,1,29,0.300293,0.269043,0.375,0.25,10.4346
