"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@lzma_stream_buffer_encode,3,2,0,3,0,17,0.068359,0.0133929,0.195312,0,1.22805
function@lzma_easy_preset,0,0,0,0,0,0,0,0,0,0,0
function@lzma_alone_encoder,0,0,0,0,0,3,0,0,0,0,2.375
function@alone_encoder_init,0,0,0,0,0,7,0,0,0,0,2.28906
function@alone_encode,0,0,0,0,0,2,0,0,0,0,0.242105
function@lzma_vli_size,0,0,0,0,0,4,0,0,0,0,61.4762
function@lzma_raw_buffer_encode,2,0,0,2,0,4,0.0937498,0,0.1875,0,1.6875
function@lzma_filter_flags_size,0,0,0,0,0,1,0,0,0,0,0.190476
function@lzma_filter_flags_encode,0,0,0,0,0,0,0,0,0,0,0
function@lzma_easy_encoder,0,0,0,0,0,2,0,0,0,0,1.5
function@lzma_index_encoder_init,0,0,0,0,0,1,0,0,0,0,0.230769
function@index_encode,8,4,0,6,0,14,6.5,5.7551,3,0,25.3367
function@lzma_index_encoder,0,0,0,0,0,4,0,0,0,0,2.28512
function@lzma_index_buffer_encode,0,0,0,0,0,2,0,0,0,0,0.375
function@lzma_block_buffer_decode,4,1,0,4,1,9,0.0781245,0.15625,0.117187,0.15625,2.63086
function@lzma_filters_copy,1,0,0,1,0,13,0.0886833,0,0.0886833,0,4.39585
function@lzma_raw_coder_init,9,10,0,8,7,16,12.9262,7.53822,29.6421,18.5946,43.2888
function@lzma_raw_coder_memusage,6,2,0,4,19,8,12.5737,0.307895,12.5737,21.4158,31.1974
function@lzma_block_header_size,0,0,0,0,0,3,0,0,0,0,0.841553
function@lzma_block_header_encode,0,0,0,0,0,5,0,0,0,0,1.82373
function@lzma_filter_flags_decode,0,1,0,1,0,0,0,0.0351562,0.0703125,0,0
function@lzma_block_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@block_encode,13,5,0,9,3,17,0.465723,0.562407,1.86121,0.28111,1.84091
function@block_encoder_update,0,0,0,0,0,0,0,0,0,0,0
function@lzma_block_encoder,0,0,0,0,0,3,0,0,0,0,2.375
function@lzma_alloc,0,0,0,0,0,1,0,0,0,0,1
function@lzma_free,0,0,0,0,0,0,0,0,0,0,0
function@lzma_bufcpy,2,0,0,2,0,3,2,0,2,0,3
function@lzma_next_filter_init,0,0,0,0,0,1,0,0,0,0,1
function@lzma_next_end,0,0,0,0,0,0,0,0,0,0,0
function@lzma_next_filter_update,0,0,0,0,0,0,0,0,0,0,0
function@lzma_strm_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_code,0,1,0,1,0,0,0,2.5824e-07,1.83228e-06,0,0
function@lzma_end,0,0,0,0,0,0,0,0,0,0,0
function@lzma_get_check,0,0,0,0,0,0,0,0,0,0,0
function@lzma_memusage,0,0,0,0,0,1,0,0,0,0,0.244141
function@lzma_memlimit_get,0,0,0,0,0,1,0,0,0,0,0.244141
function@lzma_memlimit_set,0,0,0,0,0,2,0,0,0,0,0.488281
function@lzma_filter_encoder_is_supported,0,0,0,0,0,4,0,0,0,0,2.6
function@encoder_find,0,0,0,0,0,2,0,0,0,0,2
function@lzma_filters_update,9,2,0,7,0,9,11.9629,9.76562,55.426,0,37.7014
function@lzma_raw_encoder_memusage,0,0,0,0,0,0,0,0,0,0,0
function@lzma_raw_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_raw_encoder,0,0,0,0,0,3,0,0,0,0,2.375
function@lzma_properties_size,0,0,0,0,0,3,0,0,0,0,2.13924
function@lzma_properties_encode,0,0,0,0,0,2,0,0,0,0,2
function@lzma_stream_decoder_init,0,0,0,0,0,4,0,0,0,0,1.79121
function@stream_decode,4,6,0,4,0,26,2.56714,3.21089,4,0,51.866
function@stream_decoder_end,0,0,0,0,0,0,0,0,0,0,0
function@stream_decoder_get_check,0,0,0,0,0,0,0,0,0,0,0
function@stream_decoder_memconfig,0,0,0,0,0,2,0,0,0,0,1.64
function@lzma_stream_decoder,0,0,0,0,0,3,0,0,0,0,2.375
function@lzma_vli_encode,5,1,0,3,0,9,8.50198,0.123016,5.18651,0,26.246
