"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_ck_lfun,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_defined,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_rfun,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_readline,0,0,0,0,0,3,0,0,0,0,1.5
function@Perl_ck_listiob,0,0,0,0,0,5,0,0,0,0,1.93772
function@Perl_ck_smartmatch,0,0,0,0,0,7,0,0,0,0,4.84
function@Perl_ck_sassign,1,0,0,1,0,12,0.155116,0,0.155116,0,3.21452
function@Perl_ck_match,0,0,0,0,0,2,0,0,0,0,1.5
function@Perl_ck_method,5,4,0,6,4,11,1.27573,0.695717,10.0105,0.265214,27.8926
function@Perl_ck_null,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_open,0,0,0,0,0,1,0,0,0,0,0.5
function@Perl_ck_prototype,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_refassign,0,0,0,0,0,4,0,0,0,0,1.1645
function@Perl_ck_repeat,0,0,0,0,0,2,0,0,0,0,1.5
function@Perl_ck_require,25,10,0,3,0,29,1.90717,0.77417,0.5,0,10.5596
function@Perl_ck_return,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_select,0,0,0,0,0,3,0,0,0,0,0.577982
function@Perl_ck_shift,0,0,0,0,0,4,0,0,0,0,1.74194
function@Perl_ck_sort,30,6,0,6,1,7,2.66266,0.282433,0.841858,0.000549316,1.72165
function@Perl_ck_split,0,0,0,0,0,6,0,0,0,0,2.62178
function@Perl_ck_stringify,0,0,0,0,0,1,0,0,0,0,0.296296
function@Perl_ck_join,0,0,0,0,0,2,0,0,0,0,0.0686695
function@Perl_find_lexical_cv,0,0,0,0,0,0,0,0,0,0,0
function@Perl_rv2cv_op_cv,3,1,0,1,3,4,0.0143579,0.0167509,0.00584951,0.0600904,1.02579
function@Perl_ck_entersub_args_list,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_entersub_args_proto,41,26,0,44,14,19,55.0813,30.8877,30.317,9.95925,42.0869
function@S_bad_type_gv,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_entersub_args_proto_or_list,0,0,0,0,0,2,0,0,0,0,1.5
function@Perl_ck_entersub_args_core,6,10,0,6,1,8,1.2063,1.53071,1.19843,0.311811,53.1291
function@Perl_cv_get_call_checker,0,0,0,0,0,0,0,0,0,0,0
function@Perl_cv_set_call_checker,0,0,0,0,0,0,0,0,0,0,0
function@Perl_cv_set_call_checker_flags,0,0,0,0,0,1,0,0,0,0,0.5
function@Perl_ck_subr,6,8,0,5,1,8,1.86523,3.65035,1.80902,0.375,34.8784
